AIRCRAFT_TYPE,AIRCRAFT_FAMILY
723,Airbus A220
724,Airbus A220
441,ATR-42/72
442,ATR-42/72
698,Airbus A319/A320
694,Airbus A319/A320
722,Airbus A319/A320
699,Airbus A321
721,Airbus A321
696,Airbus A330
687,Airbus A330
339,Airbus A330
359,Airbus A350
887,Boeing 787
889,Boeing 787
133,Small twin turboprop
403,Small twin turboprop
404,Small twin turboprop
458,Small twin turboprop
608,Boeing 717
617,Boeing 737
612,Boeing 737
614,Boeing 737
634,Boeing 737
888,Boeing 737
622,Boeing 757
623,Boeing 757
625,Boeing 767
626,Boeing 767
624,Boeing 767
627,Boeing 777
637,Boeing 777
194,Boeing 787
837,Boeing 787
838,Boeing 737 Max
839,Boeing 737 Max
609,Bombardier CRJ
658,Bombardier CRJ
669,Bombardier CRJ
530,Bombardier CRJ
575,Business jet
469,Small twin turboprop
638,Bombardier CRJ
628,Bombardier CRJ
629,Bombardier CRJ
631,Bombardier CRJ
36,Single turboprop
30,Single turboprop
416,Single turboprop
685,Business jet
35,Single turboprop
415,Single turboprop
125,Small twin turboprop
40,Single turboprop
42,Single turboprop
482,Dash 8
449,Dornier 328 Jet
632,Dornier 328 Jet
678,Embraer E-jet
461,Small twin turboprop
748,Embraer E-jet
673,Embraer E-jet
674,Embraer ERJ
676,Embraer ERJ
675,Embraer ERJ
677,Embraer E-jet
340,Helicopter
455,Small twin turboprop
91,Single turboprop
655,MD-series
656,MD-series
131,Small twin turboprop
479,Single turboprop
79,Single turboprop
195,Small twin turboprop
360,Helicopter
456,Small twin turboprop
